A1CF
A2M
A2ML1
A4GALT
A4GNT
ABCA6
ABCA8
ABCA9
ABCB1
ABCC3
ABCC8
ABI3BP
ABL1
ABTB3
ACER2
ACKR2
ACKR3
ACP3
ACSS1
ACTA2
ACTB
ACTG2
ACTN1
ADA2
ADAM12
ADAM19
ADAM28
ADAMTS1
ADAMTS12
ADAMTS2
ADAMTS4
ADAMTSL3
ADGRD1
ADGRG7
ADGRL3
ADH1B
ADM
ADRB2
AEBP1
AFAP1
AFF3
AGMAT
AGR2
AGR3
AHCYL2
AHNAK2
AIF1
AIM2
AK7
AKR1B10
AKR1C4
ALB
ALDH1B1
ALDH1L2
ALDH2
ALDOA
ALPP
AMBP
AMIGO2
AMY2A
AMY2B
ANG
ANGPT1
ANGPTL2
ANGPTL4
ANKRD1
ANKRD44
ANKRD65
ANKS4B
ANLN
ANO1
ANOS1
ANTXR1
ANXA10
ANXA13
ANXA6
ANXA8
ANXA8L1
ANXA9
AOAH
AOC3
AOX1
APCS
APLNR
APOB
APOBEC1
APOD
APOL3
APOLD1
APP
AREG
ARHGAP1
ARHGAP15
ARHGAP29
ARHGAP30
ARHGDIA
ARHGDIB
ARHGEF6
ARL14
ARL4C
ARL4D
ARMC3
ART4
ASAH1
ASPA
ASPHD2
ATP10B
ATP1B1
ATP2A3
ATP5PD
ATP8A1
B2M
B3GALT5
B3GNT6
B4GALT1
BACE1
BACE2
BASP1
BATF2
BCAR3
BCAS1
BCAT1
BCL2L14
BCL2L15
BIN2
BMAL2
BRD4
BRSK2
BTG2
BTNL3
BTNL8
C11orf24
C11orf86
C12orf75
C16orf74
C1orf21
C1QC
C1QTNF3
C1QTNF7
C1S
C2CD4B
C3
C3orf70
C6
C7
C7orf57
C9orf24
CA14
CA2
CAB39L
CACNA1D
CACNA2D1
CALB2
CALCRL
CALD1
CALHM6
CALU
CAPN14
CAPN5
CAPN8
CAPN9
CAPRIN2
CAPZB
CASP5
CASR
CAV1
CAVIN1
CAVIN2
CBFA2T3
CCDC141
CCDC74B
CCDC80
CCDC9B
CCL15
CCL19
CCL2
CCL22
CCL5
CCN1
CCNB1
CCR5
CCT7
CD109
CD2
CD200
CD248
CD27
CD276
CD36
CD3G
CD4
CD48
CD74
CD81
CD84
CD93
CD96
CDA
CDCA7
CDCP1
CDH11
CDH17
CDH19
CDH26
CDHR2
CDHR5
CDK14
CDK2AP1
CDK7
CDKL5
CDO1
CDX2
CEACAM5
CEACAM6
CEL
CELA3A
CELF2
CENPV
CERCAM
CERKL
CES2
CFAP157
CFAP210
CFAP300
CFAP43
CFAP45
CFAP54
CFAP57
CFAP61
CFAP70
CFAP73
CFAP91
CFH
CFTR
CHD9
CHGA
CHN2
CHPF
CHRDL1
CHST11
CHST14
CHST6
CIDEC
CILP
CKAP4
CKS2
CLCN1
CLDN10
CLDN11
CLDN18
CLDN3
CLEC2B
CLIC2
CLIC4
CLRN3
CLUL1
CMKLR1
CMKLR2
CMTM3
CNIH3
CNKSR2
CNN2
CNN3
CNTNAP3
COL10A1
COL11A1
COL12A1
COL14A1
COL1A1
COL1A2
COL21A1
COL3A1
COL4A5
COL4A6
COL5A1
COL5A2
COL6A1
COL6A2
COL6A3
COL7A1
COL8A1
COLEC12
COLGALT1
COMP
CORO1C
CPA1
CPA2
CPB1
CPED1
CRACD
CRACR2A
CREB3L1
CREG1
CRISP2
CRISPLD1
CRP
CSF1R
CSRP1
CST3
CST6
CSTA
CTAGE3P
CTHRC1
CTNNA2
CTNND2
CTRB1
CTRB2
CTRC
CTSB
CTSC
CTSE
CTSK
CTSO
CTSV
CUX1
CUZD1
CX3CR1
CXCL11
CXCL12
CXCL9
CYBB
CYP24A1
CYP2C18
CYP2C19
CYP2C9
CYP2S1
CYP3A5
CYP3A7
CYP4F12
CYP4F3
CYP7B1
CYSTM1
DACH1
DCBLD1
DCBLD2
DDR2
DENND2B
DENND2C
DENND4A
DES
DHRS9
DICER1
DIP2C
DKK1
DLGAP4
DLK1
DLL4
DMBT1
DMBX1
DNAAF3
DNAH7
DNAI1
DNAI3
DNAI7
DNER
DOCK10
DOK4
DPEP1
DPYSL3
DRAP1
DRC1
DRC7
DSC3
DSG3
DUOXA2
DUSP7
DVL3
DYNC2H1
DYNLT2B
E2F7
EBF1
EBF2
EDARADD
EDN3
EDNRA
EDNRB
EEIG2
EFEMP1
EFHC2
EHD2
EIF3D
ELF3
ELFN2
ELMO1
EMCN
ENAH
ENG
ENKUR
ENO1
ENO2
ENPP1
ENTPD5
EPB41L2
EPB41L3
EPHA2
EPHA3
EPS15
EPS8L3
EPYC
ERBB3
EREG
ERN2
ERP27
ERRFI1
EVI2B
EXT1
F11
F2R
F2RL2
FA2H
FABP4
FAM114A1
FAM180A
FAM222A
FAM3D
FAM81B
FAM83A
FAP
FAR2
FAT2
FAT4
FBLN5
FBN1
FBP1
FCER1A
FCGBP
FCMR
FER1L6
FERMT1
FERMT2
FEZF1
FFAR4
FGA
FGFBP1
FGG
FGL2
FHL5
FIBIN
FKBP10
FKBP9
FLNA
FLRT2
FMNL2
FMO2
FMO5
FN1
FNDC1
FNDC3B
FOSL2
FOXA2
FOXD1
FOXJ1
FOXP1
FOXP4
FOXQ1
FREM1
FRMD3
FRMD5
FRMD6
FRZB
FSCN1
FST
FSTL1
FUT2
FXYD2
FXYD3
FYB1
FYN
FZD1
G6PC2
GAB1
GADD45A
GALNT1
GALNT15
GALNT8
GAPDH
GAPT
GATA6
GBA3
GBE1
GBP4
GBP6
GCG
GCKR
GFPT2
GFRA1
GIMAP1
GIMAP4
GIMAP7
