,Subtype,AGR2,AGR3,ANXA10,ANXA8L1,AREG,BTNL8,CDH17,CEACAM6,CLRN3,CST6,CTSE,CTSV,CYP3A7,DHRS9,FAM3D,FAM83A,FGFBP1,GPR87,KRT15,KRT17,KRT20,KRT6A,KRT6C,KRT7,LEMD1,LGALS4,LY6D,LYZ,MYO1A,PLA2G10,PRR15L,REG4,S100A2,SCEL,SERPINB3,SERPINB4,SLC2A1,SPINK4,SPRR1B,SPRR3,ST6GALNAC1,TFF1,TFF2,TFF3,TNS4,TSPAN8,UCA1,VGLL1,VSIG2
s1,Basal-like,2.01965667994748,0.638727039631346,1.75860896263953,0.240211159693599,1.76116154497061,-0.223239022162306,2.23417006995651,3.43031377838327,0.465722692466173,0.452120537843792,2.5163368185525,-0.696966129608153,-1.52466247486499,1.76517861261885,-0.999637076876188,-0.479701124177603,-1.19836631608993,-0.260990900789559,0.103273981090527,2.44936139550066,-0.0315510791078545,2.7630835581677,-1.0618174678141,2.75101143419558,-0.221461701156648,2.07620187122797,-1.13272171478955,3.58477722549943,0.108937337380184,-0.531032820437389,0.690847818139514,2.48636535709634,-0.649242117344429,0.904297149609404,-1.44095170628498,-1.60245288885242,2.29957798765775,-1.40609050375646,-1.57019360455545,-1.60245288885242,-0.0883589680238139,0.361628106731829,0.53109001962917,-0.239435837255953,1.39764344196692,2.56010026856686,-0.96004029054133,-0.130937103047537,0.542287075361937
s2,Classical,2.86244986664549,1.13581569975863,2.02948068966936,-1.15924924259504,1.25459538300295,0.0471609721385925,1.84667657158596,3.92707075461299,0.633020236798838,-1.28322475403947,3.39010463900478,-0.163491849054033,-0.569551644234353,0.00751686783538522,0.331256931347954,-0.578430706649081,-0.317475713131759,-0.571760108573983,0.0726910501689264,2.60366481990554,-1.52644666699346,-1.16559310810217,-1.55295048044301,2.43179271909562,-0.218933118805566,2.72393238160585,-0.672063382992791,3.74306910826453,1.3928211979959,0.560256378530854,1.56539558903911,3.3333084874001,-0.948608258622541,0.395494934974068,-1.67124359972719,-1.58755026935031,1.98076593643974,-1.00042064525757,-0.720409269825329,0.335446310314202,1.80028244209555,2.82500647145234,2.56263709590915,1.31023275200968,1.73643405876828,2.87345434491477,-1.58755026935031,-1.22006985927206,1.7286541448995
s3,Basal-like,2.81519461063789,1.03071022631472,1.29543360071213,0.0667533504222868,1.51786912905964,-1.17238130571168,-0.257890679652258,2.93226623049125,-0.321477102949562,0.394757538615022,3.06413396895865,-0.634299589040902,-1.41953180124943,-0.0171087463155436,0.0545868107166261,1.3769576273251,1.00318781873499,-0.387709250301004,0.223088445812941,4.20060111162216,-1.57400245500477,1.88282103156508,-1.2765155756823,2.94103052475802,1.05452629709495,1.52403766790652,-1.3785053664706,1.83744992943986,0.0943540493317344,-0.0456000255148337,1.19921621294773,-0.487506241340206,-0.716138510546949,1.88569336631838,-0.865339522734024,-1.4562628224125,2.98816673879798,-1.02275976290753,0.035234880716045,-0.0385628020383764,1.4063810037905,2.603272101406,3.16004861310444,2.30817099001693,1.98565169518315,2.23219133702942,-1.50235365981575,-0.490502545799718,1.41847211256779
s4,Basal-like,1.33519323544424,-0.419038870400337,0.378957692984127,-1.20052916819295,1.54527635270841,-1.05255546575462,0.46592399539143,2.67440858696785,-0.825825081376261,-1.00024653428292,1.99666771485369,-1.02576949418652,-1.63329443004119,-0.0283044255450708,-0.707925794902914,-0.682783867148341,-0.427444474808098,-1.24624483118396,-0.489322486450295,1.45007227183787,-1.63329443004119,1.89847661474526,-1.55035319048267,1.64258807427661,-0.720871324008291,0.919922305192679,-0.792757982547767,2.77915349761024,-0.64679258406869,-1.2898753275813,-0.155763236374635,-0.487475386255284,-0.991995191575606,0.203691331127004,0.388841816577933,-0.419038870400337,1.21777685761855,-1.35717798975025,0.161042340598245,-0.00175779868746524,0.093225256126728,0.826437415146508,0.267530674959405,0.649297663974458,0.744688561170234,1.24355370286124,-1.24624483118396,-0.987914977169924,0.0389701909616833
s5,Basal-like,2.28308015802924,0.483779936770253,1.76140805156664,-1.66542330608302,1.07191907605366,0.115143461359141,-0.0125794793439377,3.19476221100153,-0.156191975300323,-1.43710084777411,2.82596093488252,-1.24571994499762,-1.55930829428447,0.274491766984396,0.235840959132158,-0.700950950555074,-0.941042833331228,-1.66542330608302,0.549750482238909,2.79461316030884,-1.77316244313354,-0.381543765451435,-1.17241730279662,2.15012488442236,-0.619726286977372,2.17260328658787,-1.28667720568692,3.50380484656355,0.400501109513892,-0.508503529171186,0.800796750440455,-0.256612071167783,-0.854039935243033,0.826664954671868,-1.20780559267645,-1.52426207438687,1.74925620139884,-1.7369852200401,-0.521053014840912,-0.741674700600096,1.0321007235524,2.18610986282984,1.36876846721863,0.902222591012501,1.83497322728478,2.23749754813305,-1.68594266318762,-1.42025097716388,1.13300322121455
s6,Basal-like,2.51190726255091,0.789931301130132,1.55358795304197,-0.531181151550465,0.444710713021707,1.35194924342877,2.4801938652071,2.15961402425611,0.847474907024285,0.613060817118073,2.48768535721251,-0.913786081098072,-1.42637341171973,0.0439564262794074,0.395718417698074,0.415154592870963,-1.04346167899399,-0.777579750175746,0.359208111558607,3.12901349619396,1.93698329172587,2.69630041082106,-0.389656832001019,2.44930602743014,-0.635406749607877,2.22051633694669,-0.31336006732267,3.30297137879935,2.15328387343989,-0.802078115677247,0.798192410267924,1.24199329379969,0.52813299402304,0.272644276117,-1.58153875593155,-1.67815789721539,1.37579598331338,-0.809613348590815,-1.31896296861026,-1.40881612560849,0.34879661691872,0.498082990275201,1.86670240566188,0.65100011689299,1.09269697169932,2.65219325750964,-1.28701339883933,-0.369475374668827,0.442512089472742
s7,Basal-like,2.18474347949245,0.0116615725672449,0.82878986971095,-0.283203045868874,1.84977222490302,-1.43352562286291,-0.453408627330215,3.37536700135248,-1.16360798359158,0.928613155555387,2.0579817884044,0.508755566589218,-1.35505318750208,0.289318484783673,0.429097426721326,1.15503256184146,-1.23426279342266,0.581585252182924,0.698678075907998,2.55695079953043,-1.49354361208056,0.753563238124473,-1.52386630928691,2.72884739262521,0.511197222429842,1.51308546957784,-0.21906855113199,1.76594811711145,-1.05609255555902,-0.95429393459845,0.766229266551928,-0.564708290120226,0.623458307226227,2.21727686034658,0.354818621979764,-0.748239168302591,2.46941999643552,-1.49354361208056,0.481760059957293,1.08063305989071,1.08192550613344,0.663693193224536,0.11198013006182,-0.484531303541117,0.916428231643908,1.55824600676891,0.26226643013336,0.750653379794561,0.820101551509261
s8,Basal-like,0.913371348351615,-0.961821871061472,0.599512927376412,-0.671472485139259,1.06651849753795,-1.3107845853509,-0.393306512147716,0.766749610443015,-1.18775212978356,-0.696617732430755,2.13323487017663,-1.14208278043635,-1.63465101354506,-0.94381464828449,-1.17205086513172,-0.975032142687567,-1.33250284108018,-1.38010115178888,-0.610219034350768,1.8016218969131,-1.37379663166652,0.537637307486685,-1.75708544011127,1.04993493337137,-1.06772377063258,0.537334167369844,-1.4278899333941,2.69587573482692,-0.602755163872351,-1.24725454017858,-0.0662556777181574,-1.32149295818428,-0.926339872646139,-0.70868844867389,-1.46716851839632,-1.52335137051688,0.99261194038579,-1.59914368216336,-1.59914368216336,-1.59914368216336,0.255869351322976,-0.686444591456311,-1.29524121234017,-0.892849039746735,0.163976893090376,1.04660331376057,-1.68634382110341,-1.5341447305829,-0.681416180534027
s9,Classical,3.39716688113842,1.54022075959428,2.37357397606546,-1.46916664200954,0.774027714768915,0.880386472653892,1.47057918154778,3.58425774753178,0.482768382889417,-1.5058521546693,3.46123556610759,-0.423352279590463,-0.436113163326645,2.06291073582752,1.50132768655013,-0.977909645885716,-1.4863367606952,-0.758839229724899,0.122382552067775,-0.444760521091199,-1.5058521546693,-1.42619505699699,-1.55928344608321,1.75010326539118,-0.241492547032673,2.25538215937324,-1.55928344608321,3.8433207336144,1.09529900547997,0.384242012626443,1.38403962391512,3.09609232063599,-1.02630885511789,-0.821944747295651,-1.55928344608321,-1.52903256951245,1.19597168578957,-1.4863367606952,-0.995977289345593,-0.65570616604965,1.79139114523935,2.9602448923563,2.64149735559136,0.167336639409365,0.291397202317011,2.37863069976575,-1.5058521546693,-1.2850524984812,1.89310899291527
s10,Basal-like,2.19717356084648,-0.0223947905527711,1.49311955771816,-0.118708980498386,2.32285879581819,-0.232128663044198,-0.549999292128492,2.40555322946349,-0.517990491457856,-0.170667570652852,3.15409533040981,-0.239304686424055,-1.40493320708939,-0.173123332765618,-0.437479908148927,0.862446120996431,0.16761542193965,-0.640108524295335,0.0722945597211599,2.49258514208544,-1.36199769716719,0.424763683952628,-0.309461631766914,2.0770895705084,-0.212767890011108,1.46319468601111,-1.32522192318223,1.90455624796456,-0.542907180587582,-0.745133227410252,0.361456840644904,-0.869802137831966,0.307218882795212,0.237597851725617,-0.0674981756996827,-0.980923323013932,2.3332558774678,-1.56694413725459,-0.904396510108419,-1.47141392198542,1.21241670283384,0.615752931172831,-0.52756873415861,-0.429103372945079,-0.377597417223898,1.53741290733388,-1.0534926220183,-0.764847833804143,0.993184200754934
s11,Classical,2.75655302330887,0.307557225603898,1.25543347668401,-1.02425756987549,0.920489366153384,-0.0408949623458723,1.27373261633078,3.58718580991254,0.27873463549001,0.171920119964389,3.54743313314024,-1.04399808009471,-1.23775513897268,-0.979836320656973,0.00135512238484008,-0.948861855971742,-1.40162958229323,-1.33314745611056,-0.201632507214236,1.12957857455292,-1.52741573635299,-1.42555018217636,-1.42555018217636,1.34997343575144,-0.306116157688489,2.25654978730141,-1.62978491284471,3.41857715343229,0.116178427161607,-0.634817687077225,0.607095278161287,1.37247033317112,-1.12276741912079,0.764298331064022,-1.55736906658422,-1.55736906658422,1.94483926696035,-1.1575869931325,-1.48513226601661,-1.36026526015715,1.05900287785766,1.51224950525476,1.40034342540591,0.833305721793427,1.0326317262637,1.64918009895742,-0.929171727138523,-1.33314745611056,0.680533832632206
